Date,Open,High,Low,Close,Volume,Adj Close
22-04-2021 00:00,53787.62,54275.48,53200,54070,260533917.4,54070
22-04-2021 01:00,54070,54638,53901,53911.88,152256808.8,53911.88
22-04-2021 02:00,53911.88,53958.56,52561,53760.82,455824998.3,53760.82
22-04-2021 03:00,53760.81,54150,53200,53497.09,238644795.6,53497.09
22-04-2021 04:00,53494.63,54356.79,53450,54271.67,169791991.6,54271.67
22-04-2021 05:00,54271.68,54621.67,54012.98,54457.72,144151791.1,54457.72
22-04-2021 06:00,54457.73,54850,54252.38,54457.46,156066284.9,54457.46
22-04-2021 07:00,54457.46,54597,54096.08,54144.99,134734229.8,54144.99
22-04-2021 08:00,54146.01,54254.5,53080,53652,263311977.1,53652
22-04-2021 09:00,53652,54350,53249.02,54303.92,178342097.6,54303.92
22-04-2021 10:00,54303.93,54444,53879.07,53899.71,149696969.1,53899.71
22-04-2021 11:00,53901.46,55223,53891.21,54866.62,230201060.8,54866.62
22-04-2021 12:00,54866.63,55521.48,54726.34,54990.48,240065309.9,54990.48
22-04-2021 13:00,54990.49,55280,54391.56,54419.13,184801364,54419.13
22-04-2021 14:00,54419.13,54861.08,54378.29,54744.24,142671262.9,54744.24
22-04-2021 15:00,54744.24,54843.24,54310.04,54651.64,129656408.7,54651.64
22-04-2021 16:00,54651.63,55166.19,54484.34,54897.11,140350282.5,54897.11
22-04-2021 17:00,54897.11,55018.67,53380,53437.4,278485617.4,53437.4
22-04-2021 18:00,53437.4,53682.03,52703.47,53372.69,349921824.5,53372.69
22-04-2021 19:00,53372.69,53550,52222.17,52923.54,329876788.1,52923.54
22-04-2021 20:00,52923.54,52932.39,51500,51623.57,397738833.2,51623.57
22-04-2021 21:00,51629.98,52102.5,50500,51673.71,492400113.9,51673.71
22-04-2021 22:00,51679.97,52234.74,51310.34,51620.8,223766504,51620.8
22-04-2021 23:00,51620.8,52221.01,51450.01,51690.96,151692626.3,51690.96
23-04-2021 00:00,51690.95,52131.85,51280.52,51524.09,272373863.4,51524.09
23-04-2021 01:00,51524.76,51725.74,49722.22,51080.59,593144862.9,51080.59
23-04-2021 02:00,51048.59,51427.93,48555,49999.99,771280685.5,49999.99
23-04-2021 03:00,50000,50435.45,49647.2,50298.76,346870296,50298.76
23-04-2021 04:00,50298.76,50572.08,49073.61,49178.19,300998502.5,49178.19
23-04-2021 05:00,49178.2,49937.27,48443.01,49501.73,362181710.8,49501.73
23-04-2021 06:00,49501.74,49528.99,48500,49051.48,339828823.4,49051.48
23-04-2021 07:00,49051.48,49500,47700,47942.44,480152397.9,47942.44
23-04-2021 08:00,47936,48858.14,47500,48749.75,397476713.7,48749.75
23-04-2021 09:00,48761.02,48783.6,47842.61,48226.87,212013562.4,48226.87
23-04-2021 10:00,48226.86,49665.32,48130.03,49455.53,314295004.7,49455.53
23-04-2021 11:00,49457.48,50269.17,49271.03,50070.36,255390972.1,50070.36
23-04-2021 12:00,50070.36,50300,49189.43,49249.3,201370972.3,49249.3
23-04-2021 13:00,49249.3,49470.33,48541,49127.39,233396191.6,49127.39
23-04-2021 14:00,49128.47,49943.91,48811.57,49728.37,160564043.9,49728.37
23-04-2021 15:00,49728.42,49935.01,48981,49836.62,185753789.9,49836.62
23-04-2021 16:00,49836.63,50126.48,49470.26,49836.91,145826444.3,49836.91
23-04-2021 17:00,49836.9,50115.75,49510.42,49824.74,149624447.9,49824.74
23-04-2021 18:00,49827.18,50777,49620.02,50563.59,155559916.5,50563.59
23-04-2021 19:00,50563.59,50920,50413.51,50876.72,139019099.2,50876.72
23-04-2021 20:00,50876.71,51301.34,50500,50504.32,249525172.3,50504.32
23-04-2021 21:00,50505.35,50950.01,50284.38,50298.07,125533875.1,50298.07
23-04-2021 22:00,50298.07,50720,50140,50469.05,90921531.34,50469.05
23-04-2021 23:00,50469.12,51146.77,50469.11,51125.14,80458084.4,51125.14
24-04-2021 00:00,51110.56,51166.22,49560,49864.95,204456995.2,49864.95
24-04-2021 01:00,49864.94,50050,49700.4,49724.1,99085659.4,49724.1
24-04-2021 02:00,49724.1,50395.15,49304.06,50067.37,137536840.4,50067.37
24-04-2021 03:00,50067.36,50452.37,50011.39,50109.93,89095116.13,50109.93
24-04-2021 04:00,50109.92,50631.16,49900,50412.76,88094085.67,50412.76
24-04-2021 05:00,50412.76,50544.86,50175.19,50456.09,79111109.19,50456.09
24-04-2021 06:00,50456.09,50520.57,50155,50210.75,78939077.91,50210.75
